# x_m,y_m,w_tr_right_m,w_tr_left_m
0.0006142787634701,0.3496666421013246,0.0008043032193090,0.3496666421012484
-0.0993567827354438,0.3496804187003273,-0.0991772106967710,0.3496804188878014
-0.1993278442343578,0.3496941952993300,-0.1991587246128509,0.3496941956743544
-0.2992989055487705,0.3497092513265563,-0.2991404927518754,0.3497092518817992
-0.3992699668631486,0.3497243075929522,-0.3991222609384228,0.3497243083284122
-0.4992410279805160,0.3497406195927109,-0.4991041985258400,0.3497406205010813
-0.5992120890978095,0.3497569320620376,-0.5990861361766029,0.3497569331433157
-0.6991831500064722,0.3497744765749258,-0.6990681584293024,0.3497744778218406
-0.7991542109150178,0.3497920217790076,-0.7990501807294645,0.3497920231915551
-0.8991252716041833,0.3498107753492316,-0.8990322028676619,0.3498107769201637
-0.9990963322931848,0.3498295298235050,-0.9990142250057383,0.3498295315528162
-1.0990673927529127,0.3498494689925161,-1.0989961622418503,0.3498494708730047
-1.1990384532124259,0.3498694092696588,-1.1989780993985470,0.3498694113013179
-1.2990095134336090,0.3498905105821787,-1.2989598669468356,0.3498905127578603
-1.3989805736545247,0.3499116131981439,-1.3989416343047123,0.3499116155178399
-1.4989516336288751,0.3499338531947978,-1.4989231469892390,0.3499338554620873
-1.5989226936029024,0.3499560946814345,-1.5989046593401406,0.3499560968960603
-1.6988937536313440,0.3499780902257570,-1.6988848065655087,0.3499780087615065
-1.7988648136598668,0.3500000854017963,-1.7988649517466868,0.3499999201334446
-1.8988358714551996,0.3499696606319190,-1.8988366240769821,0.3499692654331120
-1.9988069292467696,0.3499391475379849,-1.9988082821310973,0.3499385221625096
-2.0987777278058788,0.3497096082141145,-2.0988718501656041,0.3497085397679703
-2.1987485258796111,0.3494796962409478,-2.1989355902889329,0.3494781843255199
-2.2987174102644312,0.3488200739054648,-2.2991207139450927,0.3488180363325253
-2.3986862907085587,0.3481595667048405,-2.3993060875557948,0.3481570033051464
-2.4986480166051552,0.3467937094032474,-2.4995502057174011,0.3467906428012373
-2.5986097264459005,0.3454262691928857,-2.5997944557103692,0.3454226994393321
-2.6985531838554069,0.3430775862576634,-2.7000287890691443,0.3430736867941928
-2.7984965969870381,0.3407265229632381,-2.8002630983715360,0.3407222942105959
-2.8984025734802743,0.3371202668606037,-2.9004158602048249,0.3371160859323233
-2.9983084525218704,0.3335107433546172,-3.0005684097611853,0.3335066112323662
-3.0981474591210274,0.3283746349401206,-3.1005644533439209,0.3283711075336768
-3.1979862801714334,0.3232342907610481,-3.2005600626747168,0.3232313696128760
-3.2977164524716818,0.3162991226668652,-3.3003202725499485,0.3162973664501507
-3.3974463054157740,0.3093586789660668,-3.4000797905049782,0.3093580893229431
-3.4970116122477815,0.3003614670675839,-3.4995246541331109,0.3003620829412309
-3.5965764096567665,0.2913578875615189,-3.5989685436138990,0.2913597090725020
-3.6959022807395647,0.2800191580151403,-3.6979738386552587,0.2800209769322157
-3.7952273768123757,0.2686728538970066,-3.7969777110192759,0.2686746663010109
-3.8942204542608656,0.2547243529422283,-3.8954247699728728,0.2547223198294543
-3.9932124092268735,0.2407670545280547,-3.9938699464618921,0.2407611629196689
-4.0917709758148755,0.2240220737873533,-4.0917711959782466,0.2240049030573411
-4.1903280232221105,0.2072673212262953,-4.1896705388366531,0.2072388453627171
-4.2883292096737602,0.1875202401224348,-4.2869773841229941,0.1874696015570801
-4.3863283816968783,0.1677623148822256,-4.3842820822104684,0.1676894742674932
