# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.0381847629875032,0.0727616418583349,0.2175191635702255,0.0725474824717894
-0.1376769910918040,0.0631819307787995,0.1231049991163876,0.0629551339782467
-0.2371692191961271,0.0536022196994967,0.0286907087794009,0.0533627846482662
-0.3366614473313139,0.0440225089407352,-0.0658971314274890,0.0437692821561839
-0.4361536754664267,0.0344427981812065,-0.1604852279433596,0.0341757777785658
-0.5356459035506504,0.0248630868931567,-0.2552498776040520,0.0245809745886789
-0.6351381316357924,0.0152833756146419,-0.3500149185232678,0.0149861683326336
-0.7346303601422312,0.0057036687116023,-0.4449595025852752,0.0053899550587650
-0.8341225975485916,-0.0038759456035210,-0.5399047102980048,-0.0042061695333326
-0.9336178957677322,-0.0134237175849765,-0.6350644005819891,-0.0137717951721309
-1.0331132336661260,-0.0229710735538493,-0.7302251827537560,-0.0233370088576223
-1.1326194804982586,-0.0324040560571860,-0.8256861553401568,-0.0327889650857252
-1.2321257843866658,-0.0418364321664536,-0.9211485589340144,-0.0422403195814785
-1.3316451503082398,-0.0511299849905060,-1.0169385665835105,-0.0515539180108848
-1.4311645934171302,-0.0604227038215083,-1.1127303851957022,-0.0608666878113012
-1.5306991713340834,-0.0695518941700309,-1.2088772954737923,-0.0700169809085230
-1.6302338490011810,-0.0786799854512654,-1.3050264372135387,-0.0791661808080177
-1.7297856276238344,-0.0876196549413403,-1.4015581360603369,-0.0881279651815739
-1.8293375306260333,-0.0965579223615009,-1.4980925269296890,-0.0970883537129851
-1.9289083731540684,-0.1052826937500725,-1.5950368375372630,-0.1058361945278843
-2.0284793663105418,-0.1140057219004313,-1.6919843396990377,-0.1145822984395041
-2.1280709863265854,-0.1224900333106557,-1.7893688890808102,-0.1230905531084073
-2.2276627843157284,-0.1309722220856252,-1.8867571669399932,-0.1315966912665083
-2.3272767208440563,-0.1391903707126518,-1.9846092398506010,-0.1398395511133587
-2.4268908631814488,-0.1474059792700922,-2.0824656133232593,-0.1480798763872765
-2.5265284547850091,-0.1553321799341940,-2.1808119799087406,-0.1560314200400237
-2.6261662798407905,-0.1632553855523923,-2.2791632513464934,-0.1639799729869693
-2.7258286382514929,-0.1708638435789736,-2.3780299707904775,-0.1716142344410141
-2.8254912568031165,-0.1784688149126835,-2.4769022278279254,-0.1792450117269026
-2.9251792404650510,-0.1857338153217231,-2.5763144294030242,-0.1865360642611495
-3.0248675091693458,-0.1929948020304294,-2.6757328251602908,-0.1938231030007110
-3.1245816973169638,-0.1998908153415308,-2.7757144696714384,-0.2007451597630549
-3.2242961927275027,-0.2067822543942258,-2.8757029833307879,-0.2076626385931954
-3.3240368607294655,-0.2132840590704603,-2.9762766096004096,-0.2141901701136233
-3.4237778545948023,-0.2197806977388097,-3.0768577920502538,-0.2207125272504895
-3.5235449514296051,-0.2258635183576275,-3.1780442549858114,-0.2268203954123746
-3.6233123881435492,-0.2319405529687874,-3.2792389661251660,-0.2329224632083985
-3.7231055169714735,-0.2375802122012972,-3.3810571747557994,-0.2385860702617268
-3.8228989941448859,-0.2432134407073794,-3.4828843209063933,-0.2442432248255086
-3.9227173969933435,-0.2483865220240270,-3.5853509865167057,-0.2494386749515228
-4.0225361501687802,-0.2535525072747810,-3.6878272681333599,-0.2546269983116709
