# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.0381920909483850,0.0728362895036023,0.2174441571041399,0.0726224889378750
-0.1376722805481581,0.0630705754903041,0.1232105635970957,0.0628432475222343
-0.2371524717560917,0.0533048778745445,0.0289768001819402,0.0530640215713765
-0.3366344807445463,0.0435577151787973,-0.0654490184760460,0.0433022762023937
-0.4361164970330126,0.0338106271521467,-0.1598752244071845,0.0335406035922598
-0.5356026353820346,0.0241057021449354,-0.2545201099018972,0.0238200153517400
-0.6350887907861286,0.0144009525745598,-0.3491656482041322,0.0140995996351068
-0.7345813606335166,0.0047621851139907,-0.4440567085908753,0.0044440704629002
-0.8340739612743212,-0.0048762629828135,-0.5389487363640170,-0.0052111431672534
-0.9335752401040405,-0.0144247081047584,-0.6341133926043253,-0.0147774308559061
-1.0330765673037445,-0.0239726461039704,-0.7292793798003967,-0.0243432162296255
-1.1325887901435248,-0.0334063515521098,-0.8247451730637746,-0.0337958520390182
-1.2321010825566965,-0.0428393175875805,-0.9202127106557660,-0.0432477541332740
-1.3316264232300432,-0.0521336092147350,-1.0160073913285061,-0.0525620503725158
-1.4311518580171210,-0.0614268839844552,-1.1118042794825895,-0.0618753362447650
-1.5306924084814799,-0.0705568405149511,-1.2079557128796223,-0.0710263463125143
-1.6302330805722853,-0.0796854569756775,-1.3041098663217467,-0.0801760234398696
-1.7297908299993567,-0.0886259168079660,-1.4006459360829240,-0.0891385449607349
-1.8293487310820400,-0.0975646671535013,-1.4971852872831981,-0.0980993645551162
-1.9289255427319394,-0.1062902545054675,-1.5941338147346666,-0.1068479638772323
-2.0285025380419759,-0.1150137164173404,-1.6910862325218992,-0.1155944454573509
-2.1281001257237460,-0.1234988693899452,-1.7884748431673481,-0.1241034812253491
-2.2276979304062023,-0.1319814343659797,-1.8858679986337050,-0.1326099364445284
-2.3273178333716182,-0.1402004504967252,-1.9837239763140280,-0.1408536012608093
-2.4269379872785106,-0.1484163696916872,-2.0815851961856597,-0.1490941758340847
-2.5265815443732986,-0.1563434638941061,-2.1799353108782960,-0.1570465495935972
-2.6262253861174214,-0.1642669064312738,-2.2782914044365632,-0.1649952769838094
-2.7258937094009550,-0.1718762839909287,-2.3771617160763299,-0.1726303948798510
-2.8255623498814142,-0.1794814104093635,-2.4760387780109494,-0.1802612647339693
-2.9252562981765342,-0.1867473560688231,-2.5754544177093082,-0.1875532011090360
-3.0249505940418175,-0.1940084079390270,-2.6748776083079799,-0.1948402436208711
-3.1246707470126616,-0.2009053916614764,-2.7748625399517630,-0.2017632124815872
-3.2243912746641912,-0.2077967979539178,-2.8748558456453472,-0.2086805994972002
-3.3241379081589857,-0.2142995973089260,-2.9754326125105464,-0.2152090719540238
-3.4238849390378920,-0.2207960974472663,-3.0760185914611511,-0.2217312350720435
-3.5236580025604587,-0.2268799357355654,-3.1772080543696508,-0.2278400732386244
-3.6234314805874903,-0.2329567184313712,-3.2784075736923031,-0.2339418384239646
-3.7232305778622425,-0.2385974166275847,-3.3802286490837843,-0.2396064443646479
-3.8230301000016165,-0.2442302725470012,-3.4820606221467219,-0.2452631816397464
-3.9228544736488549,-0.2494044119858721,-3.5845300301824237,-0.2504596588810419
-4.0226792746181328,-0.2545698971362325,-3.6870111641785233,-0.2556474445767144
-4.1225277959432178,-0.2592549886177699,-3.7901431982606546,-0.2603527684865903
-4.2223767380764743,-0.2639305940843584,-3.8932877635111778,-0.2650485563146199
-4.3222479028785052,-0.2681052478522768,-3.9970940934886188,-0.2692407484361889
-4.4221194720496433,-0.2722695702898548,-4.1009137268103615,-0.2734225444220389
-4.5220114031598690,-0.2759136603088037,-4.2054032478188201,-0.2770808447252098
