# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.0056549647516683,0.2070362126241200,-0.0261544187258098,0.2070831527832156
-0.1053995431119278,0.2001336775618406,-0.1255803204034445,0.2001803219492466
-0.2051441170634975,0.1932310791160535,-0.2250062073798691,0.1932774276240528
-0.3048838115259436,0.1862583285045773,-0.3244158232195598,0.1863042619131424
-0.4046234984422358,0.1792854704124204,-0.4238254117425739,0.1793309885148381
-0.5043590131038210,0.1722531864491088,-0.5232198969252203,0.1722981749539918
-0.6040945184046852,0.1652207701890043,-0.6226143442834605,0.1652652288023630
-0.7038265764548651,0.1581396333009400,-0.7219948621368578,0.1581834537558869
-0.8035586246919429,0.1510583585767270,-0.8213753337779228,0.1511015405064397
-0.9032879649821197,0.1439390476663889,-0.9207430530250351,0.1439814898453861
-1.0030172963959112,0.1368196126539888,-1.0201107197938311,0.1368613146594762
-1.1027446700096999,0.1296728053494822,-1.1194668118008173,0.1297136739288104
-1.2024720370874535,0.1225259069481389,-1.2188228471776827,0.1225659416414858
-1.3021982039117377,0.1153622798579706,-1.3181684832070344,0.1154013962253010
-1.4019243679461411,0.1081986139460934,-1.4175140605510488,0.1082368115112246
-1.5016500932433154,0.1010288429243349,-1.5168504090269299,0.1010660468027009
-1.6013758208923652,0.0938591046256552,-1.6161866988313325,0.0938953143467220
-1.7011018718725375,0.0866938650307751,-1.7155149225974933,0.0867290159064584
-1.8008279317193820,0.0795287489743143,-1.8148430897378669,0.0795628405626800
-1.9005550741140083,0.0723787159426504,-1.9141643433354658,0.0724116942871577
-2.0002822332282153,0.0652289165371575,-2.0134855443376614,0.0652607812479506
-2.1000112278632632,0.0581047652449326,-2.1128009712741544,0.0581354735225809
-2.1997402483616244,0.0509809769420232,-2.2121163515734557,0.0510105284723267
-2.2994718477317417,0.0438933828770146,-2.3114270816046734,0.0439217463306023
-2.3992034833400742,0.0368063004438464,-2.4107377728181261,0.0368334756054146
-2.4989384281826510,0.0297659396718304,-2.5100449192356131,0.0297919068800961
-2.5986734207974980,0.0227262584585525,-2.6093520364395277,0.0227510176195705
-2.6984124366667177,0.0157438078864789,-2.7086566933536074,0.0157673510884388
-2.7981515129170362,0.0087622240904540,-2.8079613323570789,0.0087845513820046
-2.8978953067581794,0.0018483617308578,-2.9072645720000994,0.0018694769129554
-2.9976391745672690,-0.0050644273380378,-3.0065678066383752,-0.0050445240545833
-3.0973884312903497,-0.0118990221135126,-3.1058706766573763,-0.0118803153702054
