# x_m,y_m,w_tr_right_m,w_tr_left_m
0.0351833390670120,-0.1215942938707911,-0.0053372390159987,-0.1205291667230298
-0.0622160034524155,-0.1439795370845456,-0.1010004534516906,-0.1429167030803098
-0.1596153459718430,-0.1663647802983002,-0.1966636678873825,-0.1653042394375897
-0.2569474052222760,-0.1890407850368784,-0.2927814071134959,-0.1879696543333933
-0.3542793979051279,-0.2117170774441692,-0.3888995960296479,-0.2106353441519587
-0.4515106336628044,-0.2348215671485364,-0.4852203041473127,-0.2337254153963265
-0.5487416686971094,-0.2579269098881161,-0.5815414157145351,-0.2568163320741015
-0.6459727230089249,-0.2810321715046492,-0.6786866398762302,-0.2798458804213015
-0.7432037773785151,-0.3041374328780574,-0.7758343338946834,-0.3028752448482616
-0.8403725766194581,-0.3275031172022285,-0.8735990528904050,-0.3261914048929223
-0.9375411265716169,-0.3508698443404156,-0.9713662426449158,-0.3495087133559116
-1.0346114935473822,-0.3746411300275191,-1.0691687699276973,-0.3731840784755504
-1.1316813682540137,-0.3984144440875020,-1.1669714743855357,-0.3968612388171999
-1.2282607586641112,-0.4241074157235004,-1.2630032005155274,-0.4227492905799938
-1.3248372012305389,-0.4498119246308732,-1.3590242829464434,-0.4486506299491940
-1.4210929562453465,-0.4766922200290464,-1.4524013502033133,-0.4755363000220486
-1.5173464695581953,-0.5035807345266703,-1.5457599350028368,-0.5024288508611042
-1.6136006976653350,-0.5304666901243031,-1.6405824394566615,-0.5293044409130127
-1.7098549314935951,-0.5573526252408342,-1.7354166609324688,-0.5561798952129929
-1.8061091361033941,-0.5842386649620451,-1.8310398609091314,-0.5829955818148770
-1.9023633404495985,-0.6111247056269481,-1.9266701786614506,-0.6098107292220097
-1.9986167785498210,-0.6380134893621960,-2.0236352966925759,-0.6366726535619772
-2.0948702089559359,-0.6649023006414410,-2.1206138178561118,-0.6635350476032434
-2.1909174532067079,-0.6925184478502555,-2.2167290745393755,-0.6910936893846389
-2.2869624166762526,-0.7201426406726626,-2.3128347820003965,-0.7186600328896177
-2.3826820023692914,-0.7488737366443409,-2.4081205296246382,-0.7475171204500927
