# x_m,y_m,w_tr_right_m,w_tr_left_m
0.0349593510965733,-0.1206197019617857,-0.0063372390159987,-0.1195291667230298
-0.0624922798014770,-0.1430166062279208,-0.1020504963696557,-0.1419282172433322
-0.1599438424179936,-0.1654138055753695,-0.1977642145437487,-0.1643275491821586
-0.2573281278136705,-0.1881017460585776,-0.2939319752166237,-0.1870041604251068
-0.3547122062348126,-0.2107905660400761,-0.3901001314804868,-0.2096816458103858
-0.4519940319927512,-0.2339138889543617,-0.4864637235357966,-0.2327909880969490
-0.5492758662984667,-0.2570371758976936,-0.5828298709570962,-0.2559001029419035
-0.6465605014257669,-0.2801486763583811,-0.6800333266451197,-0.2789346927521384
-0.7438448795387261,-0.3032612521184998,-0.7772392625659944,-0.3019704648699879
-0.8410656932124707,-0.3266397694797719,-0.8750586063214764,-0.3252986437081825
-0.9382860160603037,-0.3500203097084201,-0.9728781645011081,-0.3486285784034863
-1.0354101226344357,-0.3737973912697246,-1.0707397561027368,-0.3723027125882030
-1.1325312901894902,-0.3975859794544775,-1.1685907537637896,-0.3959901548116281
-1.2291612956582356,-0.4232975279980105,-1.2646713165216465,-0.4219016057552603
-1.3257877905471129,-0.4490218077686308,-1.3607279396654581,-0.4478245096610488
-1.4219392290208062,-0.4764688944052098,-1.4535450218629535,-0.4752972438937285
-1.5180921990495582,-0.5039105453429137,-1.5463801260862358,-0.5027642090859145
-1.6144292803848372,-0.5306987600127283,-1.6413816941884860,-0.5295376663454272
-1.7107660578345165,-0.5574880649408864,-1.7363893847595666,-0.5563116856765730
-1.8070702233769194,-0.5843943724649188,-1.8320541166186881,-0.5831460245095346
-1.9033756534175976,-0.6112961133829348,-1.9277376916721933,-0.6099760675035014
-1.9998030487758935,-0.6377573890477835,-2.0252387592694339,-0.6363917616783230
-2.0962267178320482,-0.6642319267226390,-2.1227245763433147,-0.6628205092197186
-2.1923246986750700,-0.6918655975481105,-2.2188774591801130,-0.6903901539490461
-2.2884186769478112,-0.7195128893169013,-2.3150204836029480,-0.7179757932677350
-2.3841892937798588,-0.7482605959559613,-2.4103670620625781,-0.7468536106363990
-2.4799542289194307,-0.7770267508348133,-2.5056845938342418,-0.7757484151767436
-2.5753041657584386,-0.8071403894424863,-2.5988805172654414,-0.8058839851069749
-2.6706544281209896,-0.8372529959779508,-2.6920917077993951,-0.8360186675886968
-2.7660270461793610,-0.8672947237925791,-2.7863513838027298,-0.8660924035449593
-2.8613983789463431,-0.8973405124088192,-2.8806163157591387,-0.8961700206915931
-2.9566876669601161,-0.9276455165372538,-2.9752167540264409,-0.9264953881215968
-3.0519745564469050,-0.9579580004777405,-3.0698160376567007,-0.9568276342478551
-3.1471178198313861,-0.9887183827566980,-3.1643461805104995,-0.9875717833205823
-3.2422609122970192,-1.0194792934074561,-3.2588890274090541,-1.0183159786406610
-3.3373943565893818,-1.0502700300415191,-3.3541490030913237,-1.0490627845708060
-3.4325267425370076,-1.0810640262739397,-3.4494163614383906,-1.0798117968817809
-3.5276027787856106,-1.1120315740724123,-3.5450767967528396,-1.1106782840489411
-3.6226748350663422,-1.1430112064994182,-3.6407343094428439,-1.1415592607140992
-3.7175459084161431,-1.1746010961296935,-3.7362442335979815,-1.1731719371994478
-3.8124017606543088,-1.2062350218478608,-3.8316900835547263,-1.2048309788740172
-3.9065303371785398,-1.2399730236695192,-3.9240744220070858,-1.2387053827967687
-4.0006556448208048,-1.2737200818038414,-4.0164536600531058,-1.2725871421194748
