# x_m,y_m,w_tr_right_m,w_tr_left_m
0.0399378862111432,-0.1052419515635220,0.0168286768273961,-0.1045698351870160
-0.0577286583548539,-0.1266538625472632,-0.0808952263015104,-0.1259561252938190
-0.1553952029208510,-0.1480657735310043,-0.1786191294304169,-0.1473424154006219
-0.2529146411398286,-0.1701379950406544,-0.2761744408930549,-0.1693888478325639
-0.3504340579762409,-0.1922103125293917,-0.3737297278501404,-0.1914353762191443
-0.4478066009314546,-0.2149217988926869,-0.4711373252767448,-0.2141200626993530
-0.5451791011870610,-0.2376334710770388,-0.5685448797666139,-0.2368049347067613
-0.6423997200087885,-0.2609867352102225,-0.6657854504786146,-0.2601312406515124
-0.7396202725574794,-0.2843402793002487,-0.7630259483277133,-0.2834578264841585
-0.8366869725881780,-0.3083252612426593,-0.8601011373166921,-0.3074154972433280
-0.9337535830830932,-0.3323106106557071,-0.9571762301027715,-0.3313735352677466
-1.0306622842319579,-0.3569261990871884,-1.0540728031944062,-0.3559619697057241
-1.1275708704474843,-0.3815422462342310,-1.1509692463515881,-0.3805508629738219
-1.2243199460931471,-0.4067779325421823,-1.2476897268235709,-0.4057592068707889
-1.3210688823648731,-0.4320141602659742,-1.3444100535464183,-0.4309680920188647
-1.4176594004394398,-0.4578500903884036,-1.4409744558696778,-0.4567756668119942
-1.5142497570101128,-0.4836866318943367,-1.5375386992314157,-0.4825838519561471
-1.6106790529764095,-0.5101179446939827,-1.6339426706716362,-0.5089864978229743
-1.7071081612110570,-0.5365499507568641,-1.7303464552994936,-0.5353898365910363
-1.8033704934239758,-0.5635830183928217,-1.8265641355466393,-0.5623950187686646
-1.8996326067959601,-0.5906168747325449,-1.9227815715904748,-0.5894009906759723
-1.9957268377118722,-0.6182415393268460,-2.0188147157722574,-0.6169980586843435
-2.0918208237861924,-0.6458670655623029,-2.1148475911807929,-0.6445959887536691
-2.1877473806158623,-0.6740684658321989,-2.2107082915462950,-0.6727696529180057
-2.2836736688151853,-0.7022707900580119,-2.3065687156670975,-0.7009442408137349
-2.3794275814046664,-0.7310529276158504,-2.4022376041919991,-0.7296999504021550
-2.4751811920891629,-0.7598360806800903,-2.4979061572544117,-0.7584566777884874
-2.5707608104188666,-0.7891918252569197,-2.5933803780550688,-0.7877871404881058
-2.6663400985175709,-0.8185486565910816,-2.6888542300203420,-0.8171186921159477
-2.7617435951234590,-0.8484718244680960,-2.7841311633011445,-0.8470180124929932
-2.8571467322814050,-0.8783961503562374,-2.8794076939343856,-0.8769184938096557
-2.9523725884448191,-0.9088799070567922,-2.9744856040254848,-0.9073799471540417
-3.0475980560608935,-0.9393648898637018,-3.0695630787992871,-0.9378426299826692
-3.1426444861805307,-0.9704035623362884,-3.1644384619050747,-0.9688606896961713
-3.2376904975091665,-1.0014435299579594,-3.2593133722932821,-0.9998800485053735
-3.3325633833179666,-1.0330086790602924,-3.3540205583883793,-1.0314236400950143
-3.4274358389029813,-1.0645751332594420,-3.4487273276819534,-1.0629685344239139
-3.5221367527287204,-1.0966525398794722,-3.5432815193861869,-1.0950238023847183
-3.6168372150875250,-1.1287312912340099,-3.6378353095337568,-1.1270804135567620
-3.7113563207801197,-1.1613405176063545,-3.7321917274766303,-1.1596703202010106
-3.8058749222033716,-1.1939512189853503,-3.8265475966183251,-1.1922617096942947
-3.9002069055154664,-1.2270978604516358,-3.9206799699446337,-1.2253920254842674
-3.9945383421989953,-1.2602460717557007,-4.0148116886228147,-1.2585239198590128
-4.0886994605753122,-1.2938750301984006,-4.1087985108215008,-1.2921330226990786
-4.1828600553995798,-1.3275054664396653,-4.2027848876138769,-1.3257435924599612
-4.2768518987697162,-1.3616046810867812,-4.2966413632222338,-1.3598203683917729
-4.3708431984407197,-1.3957054060877709,-4.3904974203028724,-1.3938986463899927
-4.4646603958797417,-1.4302822257511703,-4.4841995941205344,-1.4284525221681028
-4.5584770065434341,-1.4648606499925174,-4.5779012493066924,-1.4630080008495219
-4.6521119576557659,-1.4999279970879200,-4.6714142325360877,-1.4980543562525186
-4.7457462695145951,-1.5349970646854643,-4.7649265518355755,-1.5331024390332471
-4.8392026870792542,-1.5705374775318344,-4.8582651183100438,-1.5686219694590204
-4.9326584527289628,-1.6060796176793337,-4.9516030480464712,-1.6041432275611662
-5.0259281280680419,-1.6421072527772089,-5.0447346312631556,-1.6401539797978748
-5.1191970938120877,-1.6781367391525888,-5.1378654276443232,-1.6761665985616800
-5.2122700043561059,-1.7146696835403012,-5.2307459619534669,-1.7126898298450293
-5.3053421380427794,-1.7512046228511520,-5.3236255046136822,-1.7492150844008363
-5.3982236014380298,-1.7882215988599806,-5.4162763949986994,-1.7862270218640073
-5.4911042813633211,-1.8252405555720943,-5.5089263458446425,-1.8232409591218774
-5.5837929894038494,-1.8627375705363358,-5.6013458386798334,-1.8607387917227221
-5.6764808800687785,-1.9002366209712960,-5.6937643502736570,-1.8982386846473807
-5.7689755138914540,-1.9382098407194932,-5.7859472157348719,-1.9362186223103994
-5.8614692960654295,-1.9761851500479342,-5.8781290427452859,-1.9742006754456205
-5.9537870436992737,-2.0145864047712183,-5.9701448840915852,-2.0126086133418153
-6.0461039900207973,-2.0529895984054267,-6.0621599698682234,-2.0510184898729280
-6.1382286882278754,-2.0918516965881011,-6.1539494922794242,-2.0898949158189426
-6.2303524820652054,-2.1307159535404043,-6.2457379535999369,-2.1287735364974139
-6.3222885710975172,-2.1700221651911447,-6.3373123781050396,-2.1680985738200849
-6.4142237494798575,-2.2093305209853624,-6.4288857642104063,-2.2074257769333658
-6.5059829757136871,-2.2490478631616622,-6.5202920380794227,-2.2471629045841013
-6.5977413224423733,-2.2887672496757538,-6.6116974766300149,-2.2869020812620424
-6.6893121861599720,-2.3289169650267163,-6.7028933923058149,-2.3270780888919393
-6.7808820843626636,-2.3690688965193138,-6.7940882289640676,-2.3672563461485807
-6.8722658781390189,-2.4096425945076669,-6.8850735599314463,-2.4078613311875050
-6.9636486858577671,-2.4502185271879617,-6.9760577808517166,-2.4484685772053032
-7.0548619493257876,-2.4911741554383102,-7.0668935875859482,-2.4894546704018738
-7.1460742895727041,-2.5321318512489683,-7.1577285861588393,-2.5304428265390007
-7.2371051758034071,-2.5734912579659799,-7.2483728017769602,-2.5718376100608533
-7.3281350464119912,-2.6148529131120450,-7.3390159495576599,-2.6132346695299393
-7.4189928581057982,-2.6565911561139561,-7.4294965371439297,-2.6550091048208730
-7.5098496813810280,-2.6983315624820214,-7.5199761908784639,-2.6967857080045508
-7.6005332364441882,-2.7404470666840388,-7.6102887671493660,-2.7389395306821789
-7.6912157701337494,-2.7825647819957617,-7.7006003585396119,-2.7810955769761785
-7.7817256712461660,-2.8250521995896722,-7.7907434589199624,-2.8236233738114849
-7.8722345289230233,-2.8675418517589710,-7.8808855408974487,-2.8661534176023840
-7.9625740906714935,-2.9103902644230537,-7.9708680335220263,-2.9090432417438530
-8.0529126038557077,-2.9532408991336747,-8.0608495377017384,-2.9519352942485173
-8.1430855780616014,-2.9964387884754080,-8.1506818338004390,-2.9951745803635186
-8.2332575022243173,-3.0396388805150250,-8.2405131834457457,-3.0384160690430644
-8.3232655810852272,-3.0831793062460822,-8.3301980111712837,-3.0819978667735461
-8.4132725961071948,-3.1267219417459358,-8.4198818875376915,-3.1255818741128349
-8.5031097203122545,-3.1706140135929899,-8.5093948149538434,-3.1695179154277624
-8.5929457158309503,-3.2145084069548160,-8.5989066066538182,-3.2134562955150616
-8.6826222391128134,-3.2587276803750065,-8.6882785617026776,-3.2577183379128312
-8.7722976791378731,-3.3029491606278150,-8.7776495668745778,-3.3019825788713479
-8.8618149594169147,-3.3474899229631023,-8.8668827456987724,-3.3465646918039300
-8.9513311415678150,-3.3920329021244049,-8.9561149675728302,-3.3911490117719216
-9.0406939508980635,-3.4368827776329756,-9.0452229709045273,-3.4360368092246483
-9.1300556723522188,-3.4817348299626878,-9.1343300931519380,-3.4809267592484638
-9.2192023919111445,-3.5270126899355834,-9.2232483137292292,-3.5262358529049109
-9.3083475546483445,-3.5722936331677606,-9.3121651664756744,-3.5715479815667561
-9.3969495277179593,-3.6186283269335084,-9.4004904223180183,-3.6179131287898989
-9.4855474885471871,-3.6649708041691924,-9.4888113083626031,-3.6642860540763045
-9.5731909068460794,-3.7130938174392281,-9.5761194654153101,-3.7124469969949252
-9.6608271494277442,-3.7612302157839821,-9.6634200093374929,-3.7606213812307359
-9.7470611643716687,-3.8118351277361993,-9.7492786853199753,-3.8112800708844055
-9.8332844949137890,-3.8624588487537386,-9.8351263748577455,-3.8619576899305423
-9.9176065309616064,-3.9161888796004418,-9.9190711631506314,-3.9157637468422926
-10.0019139631677589,-3.9699427700107410,-10.0030013352604019,-3.9695938332830702
-10.0837405551020751,-4.0274012751812647,-10.0844783221242214,-4.0271602331121885
-10.1655480658904782,-4.0848882740422479,-10.1659364405481174,-4.0847553704387352
-10.2440617579942490,-4.1467962042113511,-10.2440016638970057,-4.1469050927861533
-10.3225502869874735,-4.2087379080619662,-10.3220409672417848,-4.2090896098619197
-10.3973713719892746,-4.2750612461311208,-10.3967860768217655,-4.2755348451254038
-10.4721650568100397,-4.3414173202341706,-10.4715065748451046,-4.3420119130358072
-10.5428955401142321,-4.4120867468797869,-10.5426253911644476,-4.4122933084848484
-10.6135965481280632,-4.4827874634621914,-10.6137180801520365,-4.4826023012997513
-10.6792212219704936,-4.5582214487325379,-10.6795126426405336,-4.5576999349741723
-10.7448100771937494,-4.6336888319516500,-10.7452698215429603,-4.6328313573034592
-10.8053558907914429,-4.7132572963857395,-10.8058463731042718,-4.7121669595351099
-10.8658673549978460,-4.7928536942881221,-10.8663876381442996,-4.7915311974654582
-10.9218601965645039,-4.8756898033165319,-10.9224844196096065,-4.8737603692023130
-10.9778231328580524,-4.9585473534905598,-10.9785517864710123,-4.9560085017231819
-11.0290973170173601,-5.0443842947561803,-11.0298963706009197,-5.0410978618374465
-11.0803409004938160,-5.1302406807267564,-11.0812101319506091,-5.1262057649460910
-11.1269169102761172,-5.2187150580569597,-11.1278001647188258,-5.2139039740884403
-11.1734629772731768,-5.3072062299699976,-11.1743598944645885,-5.3016188002104778
-11.2159904977375540,-5.3976965999804989,-11.2169233313192258,-5.3906110904861055
-11.2584927250478088,-5.4881995531538887,-11.2594616150865008,-5.4796114212553420
-11.2967863588450399,-5.5805612704219802,-11.2977755487483407,-5.5702502209119453
-11.3350532201151193,-5.6729348120233185,-11.3360626096491171,-5.6608994435168913
-11.3690164968290688,-5.7669751545970405,-11.3699860718146706,-5.7533094551618600
-11.4029527662727563,-5.8610259572288266,-11.4038821500892329,-5.8457305166897511
-11.4327862197249921,-5.9564569340848985,-11.4336466991440950,-5.9396749577336410
-11.4625939301915540,-6.0518965707993129,-11.4633853250530642,-6.0336289571728257
-11.4885065101047257,-6.1484660221951755,-11.4892152252343447,-6.1288632610098324
-11.5143946707362002,-6.2450425566047141,-11.5150206209033072,-6.2241055913079109
-11.5366178801494854,-6.3425272375903283,-11.5371614023465092,-6.3204023741757895
-11.5588180056712986,-6.4400176385857772,-11.5592791020208043,-6.4167057985696374
-11.5775483166580706,-6.5382333171777178,-11.5779353196031156,-6.5139374997952570
-11.5962565952382874,-6.6364536010909854,-11.5965695576876868,-6.6111750953337722
-11.6116968608519411,-6.7352399955720683,-11.6119470934774682,-6.7092249362240848
-11.6271162349047046,-6.8340300090514621,-11.6273038100125561,-6.8072799695886639
-11.6394900346970971,-6.9332472044732283,-11.6396281278029985,-6.9060237445284995
-11.6518441690802828,-7.0324671582279032,-11.6519328652591287,-7.0047719667034904
-11.6613852893060184,-7.1319967442358827,-11.6614380841927527,-7.1040929244515567
-11.6709080071457993,-7.2315283558192469,-11.6709249890271760,-7.2034176289639404
-11.6778547621451292,-7.3312726396223784,-11.6778482547561548,-7.3032090815571484
-11.6847844349557892,-7.4310183337358326,-11.6847545200198351,-7.4030036293342842
-11.6893799583465938,-7.5308986031901659,-11.6893370172911659,-7.5031677324079480
-11.6939597689398429,-7.6307797785655476,-11.6939038716496135,-7.6033343232176218
-11.6964509860042867,-7.7307347074824522,-11.6963902113574800,-7.7037810459257274
